Autor,Primeiro Nome,Titulos
Rodolfo Azevedo,Rodolfo,Abertura do XLVI Seminário Integrado de Software e Hardware
 Adailton Lima,Adailton,Abertura do XLVI Seminário Integrado de Software e Hardware
Fabiane Cristina Altino,Fabiane,Indiccalex: áreas do saber a serviço do estudo da língua
 Celciane Alves  Vasconcelos,Celciane,Indiccalex: áreas do saber a serviço do estudo da língua
 Cinthyan Renata Sachs C. de Barbosa,Cinthyan,Indiccalex: áreas do saber a serviço do estudo da língua
 Edio Roberto  Manfio,Edio,Indiccalex: áreas do saber a serviço do estudo da língua
 Fábio Carlos  Moreno,Fábio,Indiccalex: áreas do saber a serviço do estudo da língua
 Maria Renata de Mira  Gobbo,Maria,Indiccalex: áreas do saber a serviço do estudo da língua
 Marcelo Ozawa de Sousa,Marcelo,Indiccalex: áreas do saber a serviço do estudo da língua
Ricardo Parizotto,Ricardo,Uma abordagem para minimizar pontos de verificação inúteis em simulações otimistas distribuídas
 Braulio Adriano de Mello,Braulio,Uma abordagem para minimizar pontos de verificação inúteis em simulações otimistas distribuídas
Rafael Lucien Bahr Arias,Rafael,Part-of-Speech Tagging para um FAQ sobre Serviços de Telecomunicação
 Cinthyan Renata Sachs C. de Barbosa,Cinthyan,Part-of-Speech Tagging para um FAQ sobre Serviços de Telecomunicação
 Alan Salvany Felinto,Alan,Part-of-Speech Tagging para um FAQ sobre Serviços de Telecomunicação
Fábio Carlos Moreno,Fábio,Visual TaHs: software para auxiliar o ensino de tabelas Hash na disciplina de Estrutura de Dados
 Cinthyan Renata Sachs C. de Barbosa,Cinthyan,Visual TaHs: software para auxiliar o ensino de tabelas Hash na disciplina de Estrutura de Dados
 Edio Roberto Manfio,Edio,Visual TaHs: software para auxiliar o ensino de tabelas Hash na disciplina de Estrutura de Dados
Carolinne Roque e Faria,Carolinne,Sistema de Apoio à Decisão por PLN para consultas de Pragas na Cultura da Soja
 Maurilio Martins Campano Júnior,Maurilio,Sistema de Apoio à Decisão por PLN para consultas de Pragas na Cultura da Soja
 Cinthyan Renata Sachs C. de Barbosa,Cinthyan,Sistema de Apoio à Decisão por PLN para consultas de Pragas na Cultura da Soja
Igor W. S. Falcão,Igor,Modelagem de Custo Total de Propriedade (TCO) de uma Infraestrutura Computacional em Nuvem
 Paulo H. A. Pereira,Paulo,Modelagem de Custo Total de Propriedade (TCO) de uma Infraestrutura Computacional em Nuvem
 Rafael F. Vieira,Rafael,Modelagem de Custo Total de Propriedade (TCO) de uma Infraestrutura Computacional em Nuvem
 Antonio C. Oliveira Jr,Antonio,Modelagem de Custo Total de Propriedade (TCO) de uma Infraestrutura Computacional em Nuvem
 Daniel S. Souza,Daniel,Modelagem de Custo Total de Propriedade (TCO) de uma Infraestrutura Computacional em Nuvem
 Marcos C. R. Seruffo,Marcos,Modelagem de Custo Total de Propriedade (TCO) de uma Infraestrutura Computacional em Nuvem
 Diego L. Cardoso,Diego,Modelagem de Custo Total de Propriedade (TCO) de uma Infraestrutura Computacional em Nuvem
Mateus Coelho Silva,Mateus,Desenvolvimento de capacete inteligente para aplicações de pesquisa de campo ecológico
 Sérvio Pontes Ribeiro,Sérvio,Desenvolvimento de capacete inteligente para aplicações de pesquisa de campo ecológico
 Saul Delabrida,Saul,Desenvolvimento de capacete inteligente para aplicações de pesquisa de campo ecológico
 Ricardo Augusto Rabelo Oliveira,Ricardo,Desenvolvimento de capacete inteligente para aplicações de pesquisa de campo ecológico
Felipe Rocha,Felipe,Um Sistema de Gerenciamento e Automação de Climatização para Eficiência Energética
 Luís Felipe Santos,Luís,Um Sistema de Gerenciamento e Automação de Climatização para Eficiência Energética
 José Gameleira Neto,José,Um Sistema de Gerenciamento e Automação de Climatização para Eficiência Energética
 Alan Fernandes,Alan,Um Sistema de Gerenciamento e Automação de Climatização para Eficiência Energética
 Thais Batista,Thais,Um Sistema de Gerenciamento e Automação de Climatização para Eficiência Energética
