Autor,Primeiro Nome,Titulos
André Pinheiro,André,O que Acontece após um Hackathon? Um Estudo Empírico
 Cleidson   de Souza,Cleidson,O que Acontece após um Hackathon? Um Estudo Empírico
 Nelson   Tenório Jr.,Nelson,O que Acontece após um Hackathon? Um Estudo Empírico
 Fernando   Figueira Filho,Fernando,O que Acontece após um Hackathon? Um Estudo Empírico
 Leandro   de Almeida Melo,Leandro,O que Acontece após um Hackathon? Um Estudo Empírico
Érica Scheffel,Érica,O Processo de Construção do Jogo Inteligente Tangível: Hash 3D
 Claudia  Motta,Claudia,O Processo de Construção do Jogo Inteligente Tangível: Hash 3D
 Carlo Oliveira,Carlo,O Processo de Construção do Jogo Inteligente Tangível: Hash 3D
 Carla Verônica Marques,Carla,O Processo de Construção do Jogo Inteligente Tangível: Hash 3D
Antonio Brasil,Antonio,An Exploratory Study of Biometrics Using Eye Movement Trajectory Images Collected by Natural Image Stimuli
 Jefferson   Andrade,Jefferson,An Exploratory Study of Biometrics Using Eye Movement Trajectory Images Collected by Natural Image Stimuli
 Luiz Pinto,Luiz,An Exploratory Study of Biometrics Using Eye Movement Trajectory Images Collected by Natural Image Stimuli
 Karin   Komati,Karin,An Exploratory Study of Biometrics Using Eye Movement Trajectory Images Collected by Natural Image Stimuli
Arthur Artoni,Arthur,Auxílio à Decisão no Diagnóstico do Transtorno do Espectro Autista com M-Health
 Bruno   Oliveira,Bruno,Auxílio à Decisão no Diagnóstico do Transtorno do Espectro Autista com M-Health
 Cinthyan   Sachs de Barbosa,Cinthyan,Auxílio à Decisão no Diagnóstico do Transtorno do Espectro Autista com M-Health
Jonathan Nau,Jonathan,Processamento do Discurso em Textos Dissertativos-Argumentativos: Uma Abordagem Baseada em Mineração de Argumentos e Aprendizado Supervisionado de Máquina
 Rudimar Luís Scaranto Dazzi,Rudimar,Processamento do Discurso em Textos Dissertativos-Argumentativos: Uma Abordagem Baseada em Mineração de Argumentos e Aprendizado Supervisionado de Máquina
 Aluizio Haendchen Filho,Aluizio,Processamento do Discurso em Textos Dissertativos-Argumentativos: Uma Abordagem Baseada em Mineração de Argumentos e Aprendizado Supervisionado de Máquina
 Anita Fernandes,Anita,Processamento do Discurso em Textos Dissertativos-Argumentativos: Uma Abordagem Baseada em Mineração de Argumentos e Aprendizado Supervisionado de Máquina
Emanuel Rodrigues,Emanuel,Um Estudo Exploratório dos Fatores de Adoção dos Ecossistemas de Software em Nuvem
 Antonilson Alcantara,Antonilson,Um Estudo Exploratório dos Fatores de Adoção dos Ecossistemas de Software em Nuvem
 Filipe Coelho,Filipe,Um Estudo Exploratório dos Fatores de Adoção dos Ecossistemas de Software em Nuvem
 Cleidson   Souza,Cleidson,Um Estudo Exploratório dos Fatores de Adoção dos Ecossistemas de Software em Nuvem
Diogo Lima Silva,Diogo,Aprendizagem de preferências através do método TOPSIS: uma aplicação para ratings de liberdade econômica
 Julio Cezar Silva,Julio,Aprendizagem de preferências através do método TOPSIS: uma aplicação para ratings de liberdade econômica
 Adiel de Almeida Filho,Adiel,Aprendizagem de preferências através do método TOPSIS: uma aplicação para ratings de liberdade econômica
Lucas Bressan,Lucas,An ontology-based approach to support the certification of Safety-Critical Software Product Lines
 Regina Braga,Regina,An ontology-based approach to support the certification of Safety-Critical Software Product Lines
 Fernanda Campos,Fernanda,An ontology-based approach to support the certification of Safety-Critical Software Product Lines
 André Oliveira,André,An ontology-based approach to support the certification of Safety-Critical Software Product Lines
Igor Muzetti Pereira,Igor,Modularidade de Código X Propriedade Coletiva: Um Estudo Empírico sobre Projetos Populares de Código Aberto
 Carla  Sanches Nere dos Santos,Carla,Modularidade de Código X Propriedade Coletiva: Um Estudo Empírico sobre Projetos Populares de Código Aberto
 Vicente José Peixoto de Amorim,Vicente,Modularidade de Código X Propriedade Coletiva: Um Estudo Empírico sobre Projetos Populares de Código Aberto
Edimar Roque Martello Junior,Edimar,Closing the Gap Between Lookahead and Checkpointing to Provide Hybrid Synchronization
 Acacia Terra,Acacia,Closing the Gap Between Lookahead and Checkpointing to Provide Hybrid Synchronization
 Ricardo Parizotto,Ricardo,Closing the Gap Between Lookahead and Checkpointing to Provide Hybrid Synchronization
